# unit-map.tsv -- explicit Delphi unit -> parallel lane assignment
#
# Read by tools/audit-coverage.ps1 (evidence E4). A row here means the unit is
# OWNED BY A LANE AND IN FLIGHT -- it is reported as ASSIGNED, never as MAPPED.
#
# E1/E2 (real .cs evidence) take PRECEDENCE over E4, so a row whose port has
# already landed is reported MAPPED anyway: a stale row can never hide finished
# work.  Keep the file refreshed once per wave; a row that is no longer in any
# lane's charter must be DELETED, otherwise it hides a real gap from UNMAPPED.
#
# Columns: <Delphi unit basename> \t <lane branch> [\t note]
# Key is the basename only, so duplicate basenames (e.g. AsyncCalls.pas exists in
# M2Engine, Client-HGE and RunGate) match all copies; keep that in mind.
# Do NOT add a row for a unit whose lane does not actually own every copy.
#
# ---- P4 wave (2026-09-20): the four unowned giants ----
MirClientContext	par/p4-rungate-mirclient
ObjNpc	par/p4-m2-objnpc
#
# ---- P2 wave, still in flight ----
RunGateUtils	par/p2-rungate-impl
IocpWinsock2	par/p2-rungate-impl
IocpUtils	par/p2-rungate-impl
IocpCommon	par/p2-rungate-impl
uBuffer	par/p2-rungate-impl
uFrmGameSpeed	par/p2-rungate-impl
uFrmSafeFilter	par/p2-rungate-impl
uFrmMagicCD	par/p2-rungate-impl
uFrmItemEatCD	par/p2-rungate-impl
uFrmInterval	par/p2-rungate-impl
uFrmMessageFilter	par/p2-rungate-impl
uFrmProcessBlacklist	par/p2-rungate-impl
uFrmReadFileIP	par/p2-rungate-impl
uFrmLogClientPacketSetting	par/p2-rungate-impl
uFrmAddProcessBlack	par/p2-rungate-impl
uFrmHitInterval	par/p2-rungate-impl
uFrmAntiPlugUpdateSetting	par/p2-rungate-impl
# NOTE: ParadoxDataSet.pas exists in BOTH RunGate and GameCenter (same basename,
# 1240 lines each).  Ported ONCE into GXX.Core by par/p6-core-paradox.
# ---- P3 wave, still in flight ----
MySqlM2DataDB	par/p3-m2-dbdata
SqliteM2DataDB	par/p3-m2-dbdata
MySqlAuctionDB	par/p3-m2-dbdata
SqliteAuctionDB	par/p3-m2-dbdata
DIB	par/p3-dx-big
DxMemo	par/p3-dx-big
Nations	par/p3-m2-sweep
PowerBase64	par/p3-m2-sweep
MemoryModuleEx	par/p3-m2-sweep
GameGoldDealDB	par/p3-m2-sweep
HTTPService	par/p3-m2-sweep
M2Locker	par/p3-m2-sweep
ObjGuard	par/p3-m2-sweep
M2Threads	par/p3-m2-sweep
StringListHelper	par/p3-m2-sweep
# ---- DxComponent tree, owned wholesale by one lane ----
# DONE (landed on main, now detected by E1/E2 -- rows removed):
#   DxMagicBall, AsphyreTimer, StreamClipbrd, DxControlClpbrd
DxImageButtonEx	par/p2-dxcontrols-rest
# BLOCKED on the deferred DxComponent<->LoadDx dedup batch (see ledger 14.4/16.2):
DxSwitchButton	par/p2-dxcontrols-rest
DxGroupAttackProgress	par/p2-dxcontrols-rest
# PENDING integrator decision (lane judged "not worth porting"; NOT yet accepted):
GuiManage	par/p2-dxcontrols-rest
LoginDlg	par/p2-dxcontrols-rest
# ---- P5 wave ----
MirReturnConfigDlg	par/p5-client-mirreturn
uFrmCustomMagic	par/p5-m2-custommagic
#
# ---- P9 wave (2026-09-21, round 50): the TRUE remainder after the 30-unit
# sweep.  Every row below was re-measured on main @ b48e4c43 with
# tools/audit-coverage.ps1 and is still ASSIGNED (no E1/E2 evidence), i.e. a
# real gap -- the P3/P2 lanes that used to hold them are merged and CLOSED.
# Reassigned rather than duplicated: each unit keeps exactly one owner row.
#
# M2Engine leftovers that stayed unported when par/p3-m2-sweep closed:
ObjDummy	par/p9-m2-monsters
ObjRobot	par/p9-m2-monsters
ObjFireDragon	par/p9-m2-monsters
PathFindClient	par/p9-m2-pathfind
PathFind_Hero	par/p9-m2-pathfind
ClientPickItemsCfg	par/p9-m2-pathfind
StruckDamageAbsorbUtils	par/p9-m2-pathfind
UserShopDB_Old	par/p9-m2-datalayer
ItemEvent	par/p9-m2-datalayer
DataManage	par/p9-m2-datalayer
ConfigMerchant	par/p9-m2-forms
ViewHeroRcd	par/p9-m2-forms
ViewKernelInfo	par/p9-m2-forms
NoticeM	par/p9-m2-forms
ConfigMonGen	par/p9-m2-forms
uAliyunSendSMSThread	par/p9-m2-forms
uFrmClientPlugManager	par/p9-m2-forms
# RunGate leftovers that stayed unported when par/p2-rungate-impl closed:
IODataPool	par/p9-rungate-rest
Qos	par/p9-rungate-rest
IocpTcpClient	par/p9-rungate-rest
DllUpdateCommon	par/p9-rungate-rest
#
# ---- P10 wave (2026-09-21, round 51): the two giants the WEAK triage exposed.
# Class-declaration evidence (ledger 38.6b): TMirConfigDlg has NO declaration
# (only a stub seam), 24/27 DrawScrn classes have none.
MirConfigDlg	par/p10-client-mirconfig
JSYConfigDlg	par/p10-client-mirconfig
DrawScrn	par/p10-client-scrn
DropItemsMgr	par/p10-client-scrn
